,time_stamp,eye_event,x_cord,y_cord,duration,pupil,x1_cord,y1_cord,amplitude,peak_velocity,trial_id,participant_id,image
0,750536,fixation,13.7,379.4,217,4160,,,,,11,001,../../runtime/images/-4820041588910330858.png
1,750753,saccade,17.7,380.0,22,,78.8,378.5,1.99,160.0,11,001,../../runtime/images/-4820041588910330858.png
2,750775,fixation,75.9,379.9,137,4163,,,,,11,001,../../runtime/images/-4820041588910330858.png
3,750912,saccade,77.4,381.4,22,,144.1,381.0,2.21,200.0,11,001,../../runtime/images/-4820041588910330858.png
4,750934,fixation,151.5,385.0,172,4161,,,,,11,001,../../runtime/images/-4820041588910330858.png
5,751106,saccade,155.2,386.3,20,,216.9,384.0,2.09,189.0,11,001,../../runtime/images/-4820041588910330858.png
6,751126,fixation,225.3,384.0,186,4174,,,,,11,001,../../runtime/images/-4820041588910330858.png
7,751312,saccade,227.8,385.7,24,,298.1,378.6,2.42,203.0,11,001,../../runtime/images/-4820041588910330858.png
8,751336,fixation,303.0,383.3,315,4183,,,,,11,001,../../runtime/images/-4820041588910330858.png
9,751651,saccade,304.8,383.1,17,,269.5,379.7,1.22,93.0,11,001,../../runtime/images/-4820041588910330858.png
10,751668,fixation,269.9,382.7,372,4203,,,,,11,001,../../runtime/images/-4820041588910330858.png
11,752040,saccade,271.1,385.6,22,,327.0,381.7,1.93,178.0,11,001,../../runtime/images/-4820041588910330858.png
12,752062,fixation,324.2,384.0,193,4206,,,,,11,001,../../runtime/images/-4820041588910330858.png
13,752255,saccade,323.0,384.5,24,,386.2,377.3,2.21,180.0,11,001,../../runtime/images/-4820041588910330858.png
14,752279,fixation,386.8,379.0,372,4197,,,,,11,001,../../runtime/images/-4820041588910330858.png
15,752651,saccade,389.1,380.0,26,,477.5,376.3,3.1,242.0,11,001,../../runtime/images/-4820041588910330858.png
16,752677,fixation,474.4,381.1,236,4170,,,,,11,001,../../runtime/images/-4820041588910330858.png
17,752913,saccade,475.1,379.8,26,,553.6,377.6,2.76,211.0,11,001,../../runtime/images/-4820041588910330858.png
18,752939,fixation,551.8,381.3,259,4154,,,,,11,001,../../runtime/images/-4820041588910330858.png
19,753198,saccade,553.2,381.5,27,,461.7,379.0,3.21,237.0,11,001,../../runtime/images/-4820041588910330858.png
20,753225,fixation,470.5,382.7,250,4157,,,,,11,001,../../runtime/images/-4820041588910330858.png
21,753475,saccade,471.2,386.5,61,,143.4,379.2,11.23,510.0,11,001,../../runtime/images/-4820041588910330858.png
22,753536,fixation,137.8,384.2,202,4176,,,,,11,001,../../runtime/images/-4820041588910330858.png
23,753738,saccade,138.7,384.4,23,,205.0,379.7,2.24,197.0,11,001,../../runtime/images/-4820041588910330858.png
24,753761,fixation,202.8,380.3,168,4170,,,,,11,001,../../runtime/images/-4820041588910330858.png
25,753929,saccade,204.9,372.5,127,,347.3,600.0,7.69,651.0,11,001,../../runtime/images/-4820041588910330858.png
26,754056,fixation,337.6,473.1,194,3959,,,,,11,001,../../runtime/images/-4820041588910330858.png
27,754294,blink,,,83,,,,,,11,001,../../runtime/images/-4820041588910330858.png
28,754250,saccade,340.5,451.3,207,,424.2,791.3,9.22,868.0,11,001,../../runtime/images/-4820041588910330858.png
29,754457,fixation,418.4,756.3,41,3530,,,,,11,001,../../runtime/images/-4820041588910330858.png
30,754533,blink,,,65,,,,,,11,001,../../runtime/images/-4820041588910330858.png
31,754498,saccade,418.5,758.2,100,,442.4,1032.2,6.73,672.0,11,001,../../runtime/images/-4820041588910330858.png
