,time_stamp,eye_event,x_cord,y_cord,duration,pupil,x1_cord,y1_cord,amplitude,peak_velocity,trial_id,participant_id,image
0,700448,fixation,17.1,383.5,259,4088,,,,,10,001,../../runtime/images/-6803693801363870677.png
1,700707,saccade,19.0,386.7,26,,112.0,384.2,3.04,250.0,10,001,../../runtime/images/-6803693801363870677.png
2,700733,fixation,107.9,388.9,174,4082,,,,,10,001,../../runtime/images/-6803693801363870677.png
3,700907,saccade,111.0,390.6,24,,183.6,379.0,2.45,193.0,10,001,../../runtime/images/-6803693801363870677.png
4,700931,fixation,181.6,382.9,145,4069,,,,,10,001,../../runtime/images/-6803693801363870677.png
5,701076,saccade,184.8,385.7,26,,276.7,377.7,3.14,233.0,10,001,../../runtime/images/-6803693801363870677.png
6,701102,fixation,276.9,381.1,324,4075,,,,,10,001,../../runtime/images/-6803693801363870677.png
7,701426,saccade,271.3,380.8,14,,253.6,378.8,0.61,55.0,10,001,../../runtime/images/-6803693801363870677.png
8,701440,fixation,247.7,381.2,167,4076,,,,,10,001,../../runtime/images/-6803693801363870677.png
9,701607,saccade,247.3,380.6,27,,338.9,380.5,3.16,220.0,10,001,../../runtime/images/-6803693801363870677.png
10,701634,fixation,341.3,381.0,292,4088,,,,,10,001,../../runtime/images/-6803693801363870677.png
11,701926,saccade,340.1,382.1,26,,404.8,377.0,2.26,174.0,10,001,../../runtime/images/-6803693801363870677.png
12,701952,fixation,401.7,377.6,97,4089,,,,,10,001,../../runtime/images/-6803693801363870677.png
13,702049,saccade,402.5,378.6,33,,277.0,378.3,4.36,240.0,10,001,../../runtime/images/-6803693801363870677.png
14,702082,fixation,286.7,380.1,234,4105,,,,,10,001,../../runtime/images/-6803693801363870677.png
15,702316,saccade,286.9,378.8,31,,407.9,375.7,4.21,272.0,10,001,../../runtime/images/-6803693801363870677.png
16,702347,fixation,403.7,375.2,119,4089,,,,,10,001,../../runtime/images/-6803693801363870677.png
17,702466,saccade,404.8,374.8,29,,518.7,364.7,4.01,281.0,10,001,../../runtime/images/-6803693801363870677.png
18,702495,fixation,514.4,368.1,276,4072,,,,,10,001,../../runtime/images/-6803693801363870677.png
19,702771,saccade,517.7,366.2,28,,443.6,370.3,2.61,164.0,10,001,../../runtime/images/-6803693801363870677.png
20,702799,fixation,453.4,374.7,116,4096,,,,,10,001,../../runtime/images/-6803693801363870677.png
21,702915,saccade,456.2,373.4,32,,603.0,358.1,5.17,335.0,10,001,../../runtime/images/-6803693801363870677.png
22,702947,fixation,594.0,364.5,313,4070,,,,,10,001,../../runtime/images/-6803693801363870677.png
23,703310,blink,,,52,,,,,,10,001,../../runtime/images/-6803693801363870677.png
24,703260,saccade,599.9,356.7,200,,648.1,621.0,7.16,775.0,10,001,../../runtime/images/-6803693801363870677.png
25,703460,fixation,641.5,522.4,96,3792,,,,,10,001,../../runtime/images/-6803693801363870677.png
26,703556,saccade,639.5,458.7,28,,747.2,458.5,3.73,236.0,10,001,../../runtime/images/-6803693801363870677.png
27,703584,fixation,739.0,407.3,183,3977,,,,,10,001,../../runtime/images/-6803693801363870677.png
28,703767,saccade,733.4,382.7,31,,862.8,375.4,4.41,261.0,10,001,../../runtime/images/-6803693801363870677.png
29,703798,fixation,852.9,356.9,183,3991,,,,,10,001,../../runtime/images/-6803693801363870677.png
30,703981,saccade,857.1,344.3,23,,921.2,343.8,2.14,197.0,10,001,../../runtime/images/-6803693801363870677.png
31,704004,fixation,918.1,337.8,163,3995,,,,,10,001,../../runtime/images/-6803693801363870677.png
32,704167,saccade,917.8,336.4,31,,797.7,339.4,4.04,267.0,10,001,../../runtime/images/-6803693801363870677.png
33,704198,fixation,804.9,337.1,187,4037,,,,,10,001,../../runtime/images/-6803693801363870677.png
34,704385,saccade,805.5,335.2,33,,927.4,332.0,4.09,246.0,10,001,../../runtime/images/-6803693801363870677.png
35,704418,fixation,919.5,331.8,144,3993,,,,,10,001,../../runtime/images/-6803693801363870677.png
36,704616,blink,,,166,,,,,,10,001,../../runtime/images/-6803693801363870677.png
37,704562,saccade,923.2,344.9,305,,714.2,623.5,10.08,777.0,10,001,../../runtime/images/-6803693801363870677.png
38,704867,fixation,708.0,499.9,538,3810,,,,,10,001,../../runtime/images/-6803693801363870677.png
39,705405,saccade,709.9,420.7,26,,795.6,429.2,2.95,224.0,10,001,../../runtime/images/-6803693801363870677.png
40,705431,fixation,793.8,400.8,161,3972,,,,,10,001,../../runtime/images/-6803693801363870677.png
