,time_stamp,eye_event,x_cord,y_cord,duration,pupil,x1_cord,y1_cord,amplitude,peak_velocity,trial_id,participant_id,image
0,953156,fixation,6.5,357.2,239,4168,,,,,16,001,../../runtime/images/-504446773508767833.png
1,953395,saccade,8.4,360.3,38,,144.5,368.7,4.47,366.0,16,001,../../runtime/images/-504446773508767833.png
2,953433,fixation,146.0,368.2,153,4152,,,,,16,001,../../runtime/images/-504446773508767833.png
3,953586,saccade,147.2,372.8,28,,261.0,372.8,3.86,289.0,16,001,../../runtime/images/-504446773508767833.png
4,953614,fixation,255.3,377.0,151,4141,,,,,16,001,../../runtime/images/-504446773508767833.png
5,953765,saccade,253.9,380.7,33,,427.0,395.3,6.02,385.0,16,001,../../runtime/images/-504446773508767833.png
6,953798,fixation,419.6,395.9,200,4079,,,,,16,001,../../runtime/images/-504446773508767833.png
7,953998,saccade,417.6,398.4,23,,364.2,399.8,1.87,164.0,16,001,../../runtime/images/-504446773508767833.png
8,954021,fixation,365.0,395.7,132,4108,,,,,16,001,../../runtime/images/-504446773508767833.png
9,954153,saccade,365.6,393.1,25,,291.0,391.9,2.59,207.0,16,001,../../runtime/images/-504446773508767833.png
10,954178,fixation,299.8,388.2,196,4135,,,,,16,001,../../runtime/images/-504446773508767833.png
11,954374,saccade,298.2,385.7,27,,394.1,394.4,3.34,282.0,16,001,../../runtime/images/-504446773508767833.png
12,954401,fixation,390.9,393.0,230,4122,,,,,16,001,../../runtime/images/-504446773508767833.png
13,954631,saccade,392.3,394.8,23,,472.7,392.2,2.82,242.0,16,001,../../runtime/images/-504446773508767833.png
14,954654,fixation,468.4,391.4,174,4103,,,,,16,001,../../runtime/images/-504446773508767833.png
15,954828,saccade,467.1,395.6,45,,608.4,409.4,4.96,377.0,16,001,../../runtime/images/-504446773508767833.png
16,954873,fixation,614.4,395.5,270,4073,,,,,16,001,../../runtime/images/-504446773508767833.png
17,955143,saccade,614.6,394.0,25,,539.5,390.6,2.63,204.0,16,001,../../runtime/images/-504446773508767833.png
18,955168,fixation,544.1,388.8,188,4101,,,,,16,001,../../runtime/images/-504446773508767833.png
19,955356,saccade,546.8,387.6,29,,667.9,397.8,4.24,303.0,16,001,../../runtime/images/-504446773508767833.png
20,955385,fixation,661.4,383.7,283,4080,,,,,16,001,../../runtime/images/-504446773508767833.png
21,955668,saccade,659.5,390.3,49,,312.1,405.0,12.07,442.0,16,001,../../runtime/images/-504446773508767833.png
22,955717,fixation,313.1,390.7,100,4121,,,,,16,001,../../runtime/images/-504446773508767833.png
23,955863,blink,,,97,,,,,,16,001,../../runtime/images/-504446773508767833.png
24,955817,saccade,313.4,392.3,229,,259.8,732.2,8.97,847.0,16,001,../../runtime/images/-504446773508767833.png
25,956046,fixation,250.0,606.7,142,3780,,,,,16,001,../../runtime/images/-504446773508767833.png
26,956188,saccade,251.1,537.2,27,,146.1,522.1,3.55,254.0,16,001,../../runtime/images/-504446773508767833.png
27,956215,fixation,154.9,463.6,393,4055,,,,,16,001,../../runtime/images/-504446773508767833.png
28,956608,saccade,153.9,443.6,22,,207.0,443.5,1.79,128.0,16,001,../../runtime/images/-504446773508767833.png
29,956630,fixation,202.1,431.6,489,4105,,,,,16,001,../../runtime/images/-504446773508767833.png
30,957176,blink,,,40,,,,,,16,001,../../runtime/images/-504446773508767833.png
31,957119,saccade,213.4,452.4,97,,0.0,0.0,3900000.0,749.0,16,001,../../runtime/images/-504446773508767833.png
