,time_stamp,eye_event,x_cord,y_cord,duration,pupil,x1_cord,y1_cord,amplitude,peak_velocity,trial_id,participant_id,image
0,847548,fixation,-23.9,390.2,66,4163,,,,,13,001,../../runtime/images/5659673816338139458.png
1,847614,saccade,-21.7,390.4,25,,57.8,381.9,2.57,238.0,13,001,../../runtime/images/5659673816338139458.png
2,847639,fixation,51.3,391.9,232,4162,,,,,13,001,../../runtime/images/5659673816338139458.png
3,847871,saccade,51.6,393.3,25,,134.1,383.5,2.73,206.0,13,001,../../runtime/images/5659673816338139458.png
4,847896,fixation,134.6,388.3,189,4149,,,,,13,001,../../runtime/images/5659673816338139458.png
5,848085,saccade,135.7,389.8,25,,209.7,385.4,2.49,217.0,13,001,../../runtime/images/5659673816338139458.png
6,848110,fixation,206.4,387.9,188,4152,,,,,13,001,../../runtime/images/5659673816338139458.png
7,848298,saccade,205.6,388.9,30,,321.0,379.8,3.97,268.0,13,001,../../runtime/images/5659673816338139458.png
8,848328,fixation,320.3,382.8,347,4149,,,,,13,001,../../runtime/images/5659673816338139458.png
9,848675,saccade,320.1,383.3,30,,420.6,365.4,3.54,210.0,13,001,../../runtime/images/5659673816338139458.png
10,848705,fixation,416.0,367.2,154,4140,,,,,13,001,../../runtime/images/5659673816338139458.png
11,848859,saccade,413.6,368.8,28,,319.1,378.7,3.31,197.0,13,001,../../runtime/images/5659673816338139458.png
12,848887,fixation,321.7,379.0,131,4160,,,,,13,001,../../runtime/images/5659673816338139458.png
13,849062,blink,,,48,,,,,,13,001,../../runtime/images/5659673816338139458.png
14,849018,saccade,323.2,371.4,190,,335.0,655.2,7.43,913.0,13,001,../../runtime/images/5659673816338139458.png
15,849208,fixation,330.7,524.9,173,3891,,,,,13,001,../../runtime/images/5659673816338139458.png
16,849381,saccade,327.5,460.5,18,,284.4,456.7,1.49,146.0,13,001,../../runtime/images/5659673816338139458.png
17,849399,fixation,282.0,426.1,190,4101,,,,,13,001,../../runtime/images/5659673816338139458.png
18,849589,saccade,281.4,411.7,28,,355.8,411.4,2.58,202.0,13,001,../../runtime/images/5659673816338139458.png
19,849617,fixation,353.7,408.3,50,4119,,,,,13,001,../../runtime/images/5659673816338139458.png
20,849667,saccade,355.7,406.4,26,,430.2,400.7,2.61,247.0,13,001,../../runtime/images/5659673816338139458.png
21,849693,fixation,415.9,394.5,187,4127,,,,,13,001,../../runtime/images/5659673816338139458.png
22,849880,saccade,416.1,391.2,20,,370.3,389.9,1.6,151.0,13,001,../../runtime/images/5659673816338139458.png
23,849900,fixation,366.5,382.8,239,4139,,,,,13,001,../../runtime/images/5659673816338139458.png
24,850139,saccade,366.7,381.8,41,,103.3,384.3,8.94,392.0,13,001,../../runtime/images/5659673816338139458.png
25,850180,fixation,112.4,371.6,296,4155,,,,,13,001,../../runtime/images/5659673816338139458.png
26,850476,saccade,119.6,369.1,24,,61.4,373.4,1.92,132.0,13,001,../../runtime/images/5659673816338139458.png
27,850500,fixation,69.4,367.6,253,4179,,,,,13,001,../../runtime/images/5659673816338139458.png
28,850753,saccade,68.0,368.2,26,,144.2,364.7,2.52,186.0,13,001,../../runtime/images/5659673816338139458.png
29,850779,fixation,143.1,366.2,98,4171,,,,,13,001,../../runtime/images/5659673816338139458.png
