,time_stamp,eye_event,x_cord,y_cord,duration,pupil,x1_cord,y1_cord,amplitude,peak_velocity,trial_id,participant_id,image
0,393646,fixation,35.4,402.7,160,4151,,,,,4,001,../../runtime/images/-173769458936473370.png
1,393806,saccade,40.2,403.2,19,,9.1,393.5,1.04,104.0,4,001,../../runtime/images/-173769458936473370.png
2,393825,fixation,14.6,395.2,59,4149,,,,,4,001,../../runtime/images/-173769458936473370.png
3,393884,saccade,20.2,397.2,20,,71.0,375.4,1.74,160.0,4,001,../../runtime/images/-173769458936473370.png
4,393904,fixation,63.8,381.5,120,4149,,,,,4,001,../../runtime/images/-173769458936473370.png
5,394024,saccade,63.2,381.9,26,,150.8,378.3,2.9,228.0,4,001,../../runtime/images/-173769458936473370.png
6,394050,fixation,150.0,378.8,173,4142,,,,,4,001,../../runtime/images/-173769458936473370.png
7,394223,saccade,151.4,377.6,27,,250.8,370.6,3.37,240.0,4,001,../../runtime/images/-173769458936473370.png
8,394250,fixation,252.9,375.8,188,4143,,,,,4,001,../../runtime/images/-173769458936473370.png
9,394438,saccade,258.5,377.3,25,,345.4,372.9,3.01,220.0,4,001,../../runtime/images/-173769458936473370.png
10,394463,fixation,354.3,375.8,207,4141,,,,,4,001,../../runtime/images/-173769458936473370.png
11,394670,saccade,353.9,378.0,25,,427.3,375.7,2.57,204.0,4,001,../../runtime/images/-173769458936473370.png
12,394695,fixation,425.5,377.6,239,4140,,,,,4,001,../../runtime/images/-173769458936473370.png
13,394934,saccade,425.0,378.9,20,,376.6,378.8,1.7,140.0,4,001,../../runtime/images/-173769458936473370.png
14,394954,fixation,379.0,377.8,107,4158,,,,,4,001,../../runtime/images/-173769458936473370.png
15,395061,saccade,382.1,377.5,25,,475.1,381.3,3.26,264.0,4,001,../../runtime/images/-173769458936473370.png
16,395086,fixation,471.1,384.9,154,4146,,,,,4,001,../../runtime/images/-173769458936473370.png
17,395240,saccade,472.9,385.0,29,,567.1,374.2,3.32,214.0,4,001,../../runtime/images/-173769458936473370.png
18,395269,fixation,564.7,376.9,214,4132,,,,,4,001,../../runtime/images/-173769458936473370.png
19,395483,saccade,565.6,374.1,28,,658.1,373.7,3.23,207.0,4,001,../../runtime/images/-173769458936473370.png
20,395511,fixation,659.8,375.3,438,4113,,,,,4,001,../../runtime/images/-173769458936473370.png
21,395949,saccade,663.3,378.4,26,,583.4,372.3,2.8,200.0,4,001,../../runtime/images/-173769458936473370.png
22,395975,fixation,589.1,369.3,182,4135,,,,,4,001,../../runtime/images/-173769458936473370.png
23,396203,blink,,,59,,,,,,4,001,../../runtime/images/-173769458936473370.png
24,396157,saccade,598.2,346.5,201,,573.2,628.6,7.49,943.0,4,001,../../runtime/images/-173769458936473370.png
25,396358,fixation,564.0,465.7,242,3970,,,,,4,001,../../runtime/images/-173769458936473370.png
26,396600,saccade,551.7,395.4,17,,512.7,394.6,1.37,114.0,4,001,../../runtime/images/-173769458936473370.png
27,396617,fixation,511.9,363.5,255,4148,,,,,4,001,../../runtime/images/-173769458936473370.png
28,396872,saccade,509.7,350.1,25,,610.0,355.1,3.53,286.0,4,001,../../runtime/images/-173769458936473370.png
29,396897,fixation,608.4,351.8,119,4142,,,,,4,001,../../runtime/images/-173769458936473370.png
30,397016,saccade,607.5,349.2,27,,680.4,353.3,2.55,196.0,4,001,../../runtime/images/-173769458936473370.png
31,397043,fixation,674.4,351.1,293,4112,,,,,4,001,../../runtime/images/-173769458936473370.png
32,397336,saccade,671.9,353.9,29,,774.4,350.5,3.54,221.0,4,001,../../runtime/images/-173769458936473370.png
33,397365,fixation,770.0,353.3,211,4064,,,,,4,001,../../runtime/images/-173769458936473370.png
34,397632,blink,,,865,,,,,,4,001,../../runtime/images/-173769458936473370.png
35,397576,saccade,772.6,369.8,995,,652.8,647.9,8.34,838.0,4,001,../../runtime/images/-173769458936473370.png
36,398571,fixation,649.5,583.5,54,3935,,,,,4,001,../../runtime/images/-173769458936473370.png
37,398625,saccade,642.8,541.0,28,,601.4,470.6,2.35,150.0,4,001,../../runtime/images/-173769458936473370.png
38,398653,fixation,592.6,417.0,141,4058,,,,,4,001,../../runtime/images/-173769458936473370.png
39,398794,saccade,590.7,397.9,10,,599.2,380.1,0.56,62.0,4,001,../../runtime/images/-173769458936473370.png
40,398804,fixation,600.1,369.1,217,4091,,,,,4,001,../../runtime/images/-173769458936473370.png
41,399021,saccade,602.4,368.6,23,,662.7,371.2,2.11,178.0,4,001,../../runtime/images/-173769458936473370.png
42,399044,fixation,661.0,360.0,572,4106,,,,,4,001,../../runtime/images/-173769458936473370.png
43,399616,saccade,656.9,350.1,26,,589.4,360.2,2.38,158.0,4,001,../../runtime/images/-173769458936473370.png
44,399642,fixation,593.6,352.2,327,4148,,,,,4,001,../../runtime/images/-173769458936473370.png
45,399969,saccade,593.5,353.1,24,,657.8,354.8,2.25,192.0,4,001,../../runtime/images/-173769458936473370.png
46,399993,fixation,649.6,356.4,136,4130,,,,,4,001,../../runtime/images/-173769458936473370.png
